,Municipio,Fecha Radicado,Fecha Ultima Actualizacion,Latitud,Longitud,Direccion,Tipo Equipo
0,BARRANQUILLA,05/07/2018,19/12/2018,10.985675,-74.810864,Calle 72 # 38-79,Radar doppler
1,BARRANQUILLA,29/06/2018,27/12/2018,11.01113,-74.81144,Calle 84 # 59-34,Radar doppler
2,BARRANQUILLA,29/06/2018,18/12/2018,10.98087,-74.8004,Calle 61 entre carreras 34 y 35,Radar doppler
3,BARRANQUILLA,06/07/2018,18/12/2018,10.983830000000001,-74.7775,Calle 34 con carrera 45,Video Detección (Con analítica de video)
4,BARRANQUILLA,26/07/2018,24/12/2018,10.97787,-74.83612,Calle 110 # 31 - 15,Radar doppler
5,BARRANQUILLA,29/06/2018,18/12/2018,11.01211,-74.7925,Via 40 # 73-290,Radar doppler
6,BARRANQUILLA,06/07/2018,18/12/2018,10.993219999999999,-74.8034,Calle 70 con carrera 46,Video Detección (Con analítica de video)
7,BARRANQUILLA,05/07/2018,18/12/2018,11.01575,-74.82514,Calle 98 # 56-162,Radar doppler
8,BARRANQUILLA,29/06/2018,18/12/2018,11.0032,-74.81055,Carrera 51B # 79-192,Radar doppler
9,BARRANQUILLA,29/06/2018,18/12/2018,10.97935,-74.82306,Calle 82B # 26C1 - 60 (casa esquina),Radar doppler
10,BARRANQUILLA,29/06/2018,18/12/2018,11.0131,-74.83406,Carrera 51B - Calle 102,Radar doppler
11,BARRANQUILLA,29/06/2018,18/12/2018,10.940200500000001,-74.77858,Calle 19 entre carreras 3D(Boulevard),Radar doppler
12,BARRANQUILLA,26/07/2018,18/12/2018,10.96272,-74.83793,Calle 110# 10 - 427,Radar doppler
13,BARRANQUILLA,29/06/2018,18/12/2018,10.98943,-74.81432,Calle 76 # 38C - 110,Radar doppler
14,BARRANQUILLA,29/06/2018,18/12/2018,10.95849,-74.80349,Calle 56 # 14 - 24,Radar doppler
15,BARRANQUILLA,29/06/2018,18/12/2018,10.92959,-74.79918,Calle 45 # 1Sur - 39,Radar doppler
16,BARRANQUILLA,29/06/2018,18/12/2018,10.9475,-74.81622,Carrera 6 - Calle 72 / carrera 56 # 65-44,Radar doppler
17,BARRANQUILLA,29/06/2018,18/12/2018,10.97109,-74.82300000000001,Carrera 21 # 78-44,Radar doppler
18,BARRANQUILLA,29/06/2018,18/12/2018,10.94667,-74.78458,Calle 30 # 4B-350,Radar doppler
19,BARRANQUILLA,26/07/2018,18/12/2018,10.96212,-74.79308,Calle 45 # 21-39,Radar doppler
20,BARRANQUILLA,26/07/2018,18/12/2018,10.96134,-74.79337,Calle 45 # 21 - 18,Radar doppler
21,BARRANQUILLA,29/06/2018,24/12/2018,11.00788,-74.83351,Carrera 46 - calle 100 esquina,Radar doppler
22,BARRANQUILLA,29/06/2018,30/01/2019,10.94276,-74.78356,Calle 30 # 5A-121 (Coltanques),Radar doppler
23,BARRANQUILLA,29/06/2018,24/12/2018,10.953560000000001,-74.77608000000001,Carrera 15 # 18 - 102,Radar doppler
24,BARRANQUILLA,03/07/2018,18/12/2018,11.0074,-74.81254,Calle 82 con carrera 56,Video Detección (Con analítica de video)
25,BARRANQUILLA,29/06/2018,27/12/2018,11.01561,-74.82070999999999,Calle 94 # 57-57,Radar doppler
26,BARRANQUILLA,05/07/2018,24/12/2018,11.01742,-74.83438000000001,Carrera 53 - Calle 106,Radar doppler
27,BARRANQUILLA,09/07/2018,27/12/2018,10.95749,-74.89345,Via 11 # 8 - 21,Radar doppler
28,BARRANQUILLA,09/07/2018,27/12/2018,10.96959,-74.78989,Calle 45 con carrera 27,Video Detección (Con analítica de video)
29,BARRANQUILLA,09/07/2018,18/12/2018,10.95467,-74.79734,Calle 45B con carrera 14,Video Detección (Con analítica de video)
30,BARRANQUILLA,09/07/2018,18/12/2018,10.99261,-74.80666,Calle 72 con carrera 44,Video Detección (Con analítica de video)
31,BARRANQUILLA,09/07/2018,18/12/2018,10.98771,-74.78975,Calle 53 con carrera 45,Video Detección (Con analítica de video)
32,BARRANQUILLA,29/06/2018,18/12/2018,11.00938,-74.81841,Carrera 53 entre calles 86 y 87,Radar doppler
33,BARRANQUILLA,29/06/2018,18/12/2018,10.94252,-74.7777,Calle 19 entre carreras 4C y 5A (Cancha),Radar doppler
34,BARRANQUILLA,26/07/2018,18/12/2018,10.978710000000001,-74.83624,Calle 110#29-120 (centro industrial),Radar doppler
35,BARRANQUILLA,26/07/2018,19/12/2018,10.96257,-74.83808,Calle 110# 10 - 427 (Norte-Sur),Radar doppler
36,BARRANQUILLA,09/07/2018,24/12/2018,11.00457,-74.81435,Calle 82 con carrera 51B,Video Detección (Con analítica de video)
37,BARRANQUILLA,29/06/2018,26/03/2019,10.943325999999999,-74.830563,SIN DIRECCION,Radar doppler
